,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
139,frozenset({'kilometer_150000'}),"frozenset({'nrOfPictures_0', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
140,"frozenset({'notRepairedDamage_nein', 'seller_privat'})",frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
141,"frozenset({'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
142,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
143,frozenset({'notRepairedDamage_nein'}),"frozenset({'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
144,frozenset({'fuelType_benzin'}),"frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
145,"frozenset({'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
146,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
147,frozenset({'fuelType_benzin'}),"frozenset({'nrOfPictures_0', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
148,"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
149,"frozenset({'notRepairedDamage_nein', 'seller_privat'})",frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
150,"frozenset({'nrOfPictures_0', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
151,frozenset({'notRepairedDamage_nein'}),"frozenset({'nrOfPictures_0', 'seller_privat'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
152,frozenset({'nrOfPictures_0'}),"frozenset({'notRepairedDamage_nein', 'seller_privat'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
153,frozenset({'seller_privat'}),"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
154,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
155,"frozenset({'abtest_control', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
